,toilet,car honk,violin,hi-hat,door slam,bell,piano,clarinet,organ,flute,plane,elephant,distorted guitar,guitar,harp,oboe,rain,triangle,bass drum synthesized,cymbal,pig,trumpet,french horn,bird chirp,alto sax,xylophone
toilet,0.0,3.0,3.25,2.22,3.84,2.24,3.86,1.74,3.11,2.49,4.07,4.39,2.39,2.26,2.49,1.91,5.15,3.67,4.14,4.43,5.36,2.98,2.14,1.76,2.77,3.82
car honk,3.0,0.0,7.48,2.56,2.26,5.27,4.64,6.66,5.53,6.07,3.13,5.51,7.08,5.61,4.66,5.44,3.19,2.83,3.82,3.25,2.71,6.7,6.62,2.7,7.72,3.48
violin,3.25,7.48,0.0,3.97,2.18,5.15,7.17,6.28,5.42,5.78,4.31,4.83,7.3,6.43,7.11,6.26,3.38,3.53,2.58,3.46,2.5,7.84,7.55,1.72,7.08,6.31
hi-hat,2.22,2.56,3.97,0.0,4.28,6.28,5.59,2.62,3.21,3.38,3.8,2.85,3.65,2.66,3.17,3.61,4.6,7.36,6.14,8.26,3.97,3.59,3.57,3.59,3.17,6.79
door slam,3.84,2.26,2.18,4.28,0.0,3.97,3.34,1.38,2.43,3.53,2.37,3.67,2.22,1.86,2.31,3.48,3.82,3.57,6.87,5.34,4.33,2.64,2.16,3.38,2.43,4.49
bell,2.24,5.27,5.15,6.28,3.97,0.0,6.92,4.41,7.06,5.38,2.6,2.9,5.23,5.57,6.07,3.76,1.82,6.73,5.4,4.33,3.46,5.51,6.49,3.42,4.22,6.18
piano,3.86,4.64,7.17,5.59,3.34,6.92,0.0,5.34,5.63,6.45,3.11,3.59,6.89,7.78,7.5,6.07,2.58,6.54,6.2,5.63,3.86,6.49,5.63,4.2,7.15,6.62
clarinet,1.74,6.66,6.28,2.62,1.38,4.41,5.34,0.0,7.0,8.09,3.0,4.49,4.47,6.6,6.45,7.51,3.63,2.73,3.29,3.78,2.96,6.22,5.69,2.37,5.74,5.44
organ,3.11,5.53,5.42,3.21,2.43,7.06,5.63,7.0,0.0,6.24,4.16,4.09,6.71,7.88,6.66,6.09,2.79,2.49,4.2,2.56,2.9,7.32,5.57,3.42,6.75,5.69
flute,2.49,6.07,5.78,3.38,3.53,5.38,6.45,8.09,6.24,0.0,1.61,3.44,4.83,5.72,5.5,7.48,3.23,2.75,4.18,2.37,2.56,7.13,6.79,3.65,6.24,5.84
plane,4.07,3.13,4.31,3.8,2.37,2.6,3.11,3.0,4.16,1.61,0.0,5.53,2.79,1.53,3.38,2.49,5.48,5.34,4.14,3.55,5.44,3.72,3.7,2.81,5.74,3.4
elephant,4.39,5.51,4.83,2.85,3.67,2.9,3.59,4.49,4.09,3.44,5.53,0.0,3.67,3.57,4.12,4.22,2.92,2.43,4.2,3.32,6.75,4.64,5.63,4.52,4.6,4.01
distorted guitar,2.39,7.08,7.3,3.65,2.22,5.23,6.89,4.47,6.71,4.83,2.79,3.67,0.0,6.47,6.24,7.23,4.09,2.6,3.48,3.17,3.15,6.56,7.36,2.33,7.93,3.32
guitar,2.26,5.61,6.43,2.66,1.86,5.57,7.78,6.6,7.88,5.72,1.53,3.57,6.47,0.0,7.42,6.37,2.75,5.74,4.2,3.78,2.75,6.64,5.67,3.82,3.59,4.28
harp,2.49,4.66,7.11,3.17,2.31,6.07,7.5,6.45,6.66,5.5,3.38,4.12,6.24,7.42,0.0,8.33,1.42,1.82,5.63,4.22,2.5,5.86,5.32,1.78,4.56,5.3
oboe,1.91,5.44,6.26,3.61,3.48,3.76,6.07,7.51,6.09,7.48,2.49,4.22,7.23,6.37,8.33,0.0,1.86,3.59,3.69,2.81,3.3,7.48,6.14,3.34,6.35,5.29
rain,5.15,3.19,3.38,4.6,3.82,1.82,2.58,3.63,2.79,3.23,5.48,2.92,4.09,2.75,1.42,1.86,0.0,2.6,2.75,4.24,4.2,2.87,3.8,1.84,3.17,2.35
triangle,3.67,2.83,3.53,7.36,3.57,6.73,6.54,2.73,2.49,2.75,5.34,2.43,2.6,5.74,1.82,3.59,2.6,0.0,6.68,6.31,3.57,3.29,3.23,5.34,3.82,7.29
bass drum synthesized,4.14,3.82,2.58,6.14,6.87,5.4,6.2,3.29,4.2,4.18,4.14,4.2,3.48,4.2,5.63,3.69,2.75,6.68,0.0,6.47,4.28,5.21,2.54,3.65,3.82,6.81
cymbal,4.43,3.25,3.46,8.26,5.34,4.33,5.63,3.78,2.56,2.37,3.55,3.32,3.17,3.78,4.22,2.81,4.24,6.31,6.47,0.0,2.39,4.49,3.57,3.19,4.26,4.16
pig,5.36,2.71,2.5,3.97,4.33,3.46,3.86,2.96,2.9,2.56,5.44,6.75,3.15,2.75,2.5,3.3,4.2,3.57,4.28,2.39,0.0,2.49,2.52,3.65,2.62,1.65
trumpet,2.98,6.7,7.84,3.59,2.64,5.51,6.49,6.22,7.32,7.13,3.72,4.64,6.56,6.64,5.86,7.48,2.87,3.29,5.21,4.49,2.49,0.0,7.74,2.66,6.58,4.62
french horn,2.14,6.62,7.55,3.57,2.16,6.49,5.63,5.69,5.57,6.79,3.7,5.63,7.36,5.67,5.32,6.14,3.8,3.23,2.54,3.57,2.52,7.74,0.0,2.58,7.76,6.07
bird chirp,1.76,2.7,1.72,3.59,3.38,3.42,4.2,2.37,3.42,3.65,2.81,4.52,2.33,3.82,1.78,3.34,1.84,5.34,3.65,3.19,3.65,2.66,2.58,0.0,2.62,4.6
alto sax,2.77,7.72,7.08,3.17,2.43,4.22,7.15,5.74,6.75,6.24,5.74,4.6,7.93,3.59,4.56,6.35,3.17,3.82,3.82,4.26,2.62,6.58,7.76,2.62,0.0,4.52
xylophone,3.82,3.48,6.31,6.79,4.49,6.18,6.62,5.44,5.69,5.84,3.4,4.01,3.32,4.28,5.3,5.29,2.35,7.29,6.81,4.16,1.65,4.62,6.07,4.6,4.52,0.0
