,toilet,guitar,bird chirp,car honk,door slam,bass drum synthesized,elephant,clarinet,rain,trumpet
pink noise,7.11,2.81,1.9,3.1,3.42,2.81,5.69,3.19,8.28,3.59
picked distorted guitar,1.8,4.81,3.34,5.74,4.07,5.48,3.93,5.48,1.65,6.6
guitar picked,1.8,6.1,5.29,5.29,2.3,4.49,3.88,3.95,2.14,5.44
cow,2.83,4.47,1.88,5.36,2.87,3.13,7.9,5.29,3.4,5.21
dog,3.42,3.27,6.64,3.38,5.55,4.18,6.2,2.92,2.7,2.56
lion,2.77,2.68,3.25,6.14,4.7,6.89,6.6,2.79,4.22,2.14
didgeridoo,2.75,2.77,3.93,5.76,3.17,7.15,5.72,2.49,3.1,2.85
Long Didgeridoo,3.57,3.7,3.86,5.21,5.15,4.62,8.68,3.76,4.16,3.59
drive by,8.37,2.3,3.38,4.09,4.41,5.3,5.91,3.27,8.22,2.9
engine rev,2.49,3.84,5.44,2.26,7.51,5.53,5.44,2.26,4.68,3.46
brown noise,7.93,3.44,2.24,2.49,4.35,5.53,2.37,2.73,4.73,1.82
sine wave,2.41,5.7,2.54,5.25,2.96,5.29,4.94,6.7,6.39,5.29
white noise,6.43,3.23,3.32,5.36,5.51,5.32,5.3,2.68,3.19,1.9
triangle wave,2.6,6.35,2.41,6.47,2.22,3.72,3.5,7.36,6.85,4.12
sine sweep,4.09,3.46,6.77,3.53,3.27,6.22,1.97,3.86,2.24,5.76
sawtooth wave,3.23,5.7,3.27,6.71,2.07,6.03,5.5,5.69,6.73,4.2
square wave,2.26,6.73,1.9,6.79,1.8,2.22,4.28,6.09,6.45,4.7
