,toilet,guitar,bird chirp,car honk,door slam,bass drum synthesized,elephant,harp,trumpet,xylophone
snare (disengaged),4.37,4.16,4.6,3.44,6.22,6.35,2.87,3.59,3.3,6.66
Semi-open hihat,4.7,2.26,3.9,3.44,7.23,5.82,2.58,2.73,2.28,5.27
Piano pedal up,4.56,2.73,5.59,4.33,7.15,7.48,4.6,3.21,2.71,5.69
Violin pluck,2.39,5.36,6.45,3.02,4.45,5.38,3.76,5.59,3.32,7.48
Violin short,2.18,6.1,4.85,5.29,2.81,3.34,3.38,5.25,6.3,5.74
Sticks,5.53,2.81,3.69,2.81,5.74,7.32,2.83,3.59,2.89,4.5
Stomp,5.08,2.75,5.34,3.19,6.75,6.33,2.66,3.42,2.64,4.75
Violin Artificial,2.35,2.33,3.74,7.38,2.92,3.32,3.44,6.5,4.54,4.68
Male headvoice “l”,2.87,6.54,3.42,4.89,2.77,2.47,4.43,6.22,5.55,3.44
Violin vibrato,3.72,6.33,2.66,4.71,2.18,3.06,6.3,6.54,5.23,6.37
Muted piano,3.44,5.42,4.47,3.67,6.73,6.41,2.6,5.3,3.21,8.05
Male chestvoice “a”,2.71,5.44,3.88,4.58,3.46,2.28,5.32,5.65,6.22,4.49
Cello con lengo,4.71,6.16,6.94,3.9,4.81,6.85,2.81,4.47,3.32,7.32
Male headvoice “u”,2.3,4.47,3.36,3.7,2.43,3.95,3.78,5.63,4.56,3.46
Pedaled hihat,5.44,2.3,4.16,2.58,6.12,7.63,2.77,2.87,3.29,4.2
male headvoice “a”,2.85,5.7,4.18,5.97,2.56,3.4,4.03,4.47,6.07,5.25
18” crash,7.36,2.33,3.72,3.13,5.51,5.27,3.48,2.35,3.17,4.28
Whistle,2.49,6.85,6.12,6.58,2.85,2.54,3.44,5.84,6.31,5.19
Violin con lengo,2.16,5.4,6.73,3.44,4.62,4.12,4.3,6.01,4.81,8.24
male headvoice “m”,2.81,6.75,3.76,6.05,2.3,3.48,3.88,5.84,5.53,4.26
Violin stacatto,3.67,4.07,6.45,4.68,4.35,4.5,3.63,3.55,5.29,6.81
Male “p”,6.62,3.13,4.45,2.33,6.98,7.19,2.39,3.61,3.15,5.27
Cello lower string,2.35,5.51,3.5,5.69,2.26,3.44,5.59,5.88,5.46,3.69
16” crash,4.3,2.64,3.69,2.47,6.24,4.14,2.56,3.23,3.19,4.33
Male headvoice “n”,2.5,6.37,2.26,4.45,2.35,3.3,3.59,6.16,5.3,6.24
Piano key down,5.5,2.58,4.52,2.26,5.4,6.07,3.17,2.66,2.75,6.71
Cello short,2.41,5.69,5.27,4.54,3.1,3.38,5.25,5.7,4.66,5.61
Cello long,3.59,6.14,3.44,6.07,2.28,2.31,4.56,6.54,7.17,4.66
Pan sizzle,7.32,2.77,3.32,3.67,5.51,4.35,3.78,2.39,2.22,3.5
Snare,3.15,2.81,5.51,3.34,7.25,6.89,2.75,3.88,2.98,4.26
Male headvoice “o”,4.22,5.69,4.24,3.25,3.3,3.34,4.45,4.2,5.57,4.07
Male “d”,3.08,3.06,5.84,3.82,4.68,7.63,3.1,5.74,4.16,6.26
Clap,4.09,2.01,5.34,2.41,5.38,8.07,2.83,3.53,2.45,3.69
Cello pluck,2.03,5.5,4.41,5.17,4.6,5.21,5.34,7.17,5.44,6.77
open hihat,5.4,3.27,3.97,2.14,5.25,4.52,3.44,2.24,2.41,3.72
Snap,5.25,2.22,5.34,2.1,6.43,6.94,3.25,4.2,2.43,4.41
Violin long,3.67,4.54,2.94,6.12,2.68,2.87,2.73,7.17,5.8,4.28
Stand Rattling,3.23,2.45,6.28,3.21,7.1,7.61,2.28,3.3,3.27,5.51
Bass drum,5.59,2.3,4.3,3.36,5.9,7.97,3.13,2.89,4.24,5.76
Male headvoice “i”,2.41,5.88,4.37,5.36,3.38,2.79,4.68,5.5,5.65,4.33
Card Scan,2.75,2.28,7.8,3.86,5.38,5.36,2.68,2.75,1.91,7.38
Tom 1,3.9,2.73,4.1,3.36,6.14,6.31,3.13,3.7,3.36,6.87
Cello stacatto,2.58,5.69,4.49,3.8,2.31,6.22,3.74,5.3,2.58,6.49
Male headvoice “e”,3.46,5.38,3.38,5.9,2.16,2.33,4.66,6.3,6.73,4.52
closed hihat,5.36,2.75,3.25,2.43,7.65,4.18,2.54,2.41,2.87,6.24
Floor tom,4.5,2.96,4.7,3.55,6.81,6.73,3.76,4.39,3.32,5.63
Tom 2,4.41,3.53,5.95,3.5,5.36,5.61,4.87,5.69,2.7,5.72
Piano pedal down,3.04,3.67,4.71,2.87,8.49,7.32,2.24,2.18,4.31,4.6
