,Country,pitched_low,slow,fast,original,Jazz Fusion,Jazz,Bepop,pitched_high,Rock
Country,0.0,4.64,4.24,4.43,5.82,2.77,3.74,6.45,5.63,4.49
pitched_low,4.64,0.0,7.46,5.65,7.06,3.67,3.8,7.38,7.3,2.87
slow,4.24,7.46,0.0,8.58,7.72,3.57,4.39,6.3,5.76,2.75
fast,4.43,5.65,8.58,0.0,8.56,3.44,2.6,4.54,8.41,4.45
original,5.82,7.06,7.72,8.56,0.0,7.57,6.14,6.33,7.84,5.51
Jazz Fusion,2.77,3.67,3.57,3.44,7.57,0.0,3.25,4.45,4.33,7.93
Jazz,3.74,3.8,4.39,2.6,6.14,3.25,0.0,5.36,3.38,4.33
Bepop,6.45,7.38,6.3,4.54,6.33,4.45,5.36,0.0,5.69,5.4
pitched_high,5.63,7.3,5.76,8.41,7.84,4.33,3.38,5.69,0.0,5.99
Rock,4.49,2.87,2.75,4.45,5.51,7.93,4.33,5.4,5.99,0.0
