,Country,pitched_low,slow,fast,original,Jazz Fusion,Jazz,Bepop,pitched_high,Rock
Country,0.0,4.43,7.51,5.78,4.2,5.59,3.76,3.8,3.55,6.52
pitched_low,4.43,0.0,3.78,6.9,5.59,3.29,3.59,3.74,8.01,2.92
slow,7.51,3.78,0.0,5.23,5.86,2.49,3.7,4.54,7.27,1.84
fast,5.78,6.9,5.23,0.0,7.88,4.81,3.42,4.07,6.41,4.35
original,4.2,5.59,5.86,7.88,0.0,3.15,4.37,4.16,7.34,3.48
Jazz Fusion,5.59,3.29,2.49,4.81,3.15,0.0,5.67,5.51,2.81,6.54
Jazz,3.76,3.59,3.7,3.42,4.37,5.67,0.0,6.18,3.8,2.7
Bepop,3.8,3.74,4.54,4.07,4.16,5.51,6.18,0.0,3.95,6.18
pitched_high,3.55,8.01,7.27,6.41,7.34,2.81,3.8,3.95,0.0,6.26
Rock,6.52,2.92,1.84,4.35,3.48,6.54,2.7,6.18,6.26,0.0
